Code,Transport,Longitude,Latitude,Bus_Stop,District_Name,Neighborhood_Name,Transbordo
780,Day bus stop,2.163316,41.4278,BUS-19,Horta-GuinardÃ³,Horta,S
43,Day bus stop,2.128749,41.33009,BUS-109,Sants-MontjuÃ¯c,la Marina del Prat Vermell,S
101,Day bus stop,2.189252,41.45194,BUS-11,Sant Andreu,la Trinitat Vella,S
778,Day bus stop,2.174081,41.40071,BUS-19,Eixample,la Sagrada FamÃ­lia,S
1194,Day bus stop,2.172287,41.43589,BUS-82,Nou Barris,la Guineueta,S
1539,Day bus stop,2.124064,41.39997,BUS-68,SarriÃ -Sant Gervasi,les Tres Torres,S
1756,Day bus stop,2.157834,41.35081,BUS-88,Sants-MontjuÃ¯c,la Marina del Prat Vermell,N
1664,Day bus stop,2.180831,41.45619,BUS-80,Nou Barris,Torre BarÃ³,S
1154,Day bus stop,2.192864,41.38034,BUS-45,Ciutat Vella,la Barceloneta,S
1279,Day bus stop,2.161481,41.38067,BUS-D50,Eixample,Sant Antoni,S
1486,Day bus stop,2.118957,41.39003,BUS-78,Les Corts,Pedralbes,S
1647,Day bus stop,2.187505,41.40251,BUS-92,Sant MartÃ­,el Parc i la Llacuna del Poblenou,S
1201,Day bus stop,2.1774,41.42478,BUS-H6,Sant Andreu,el CongrÃ©s i els Indians,S
1872,Day bus stop,2.191142,41.39287,BUS-B25,Sant MartÃ­,la Vila OlÃ­mpica del Poblenou,S
1035,Day bus stop,2.191505,41.41769,BUS-34,Sant Andreu,la Sagrera,N
2095,Day bus stop,2.138491,41.36568,BUS-L16,Sants-MontjuÃ¯c,la Marina de Port,N
911,Day bus stop,2.145366,41.35172,BUS-23,Sants-MontjuÃ¯c,la Marina del Prat Vermell,S
2021,Day bus stop,2.218048,41.40968,BUS-H16,Sant MartÃ­,Diagonal Mar i el Front MarÃ­tim del Poblenou,N
2135,Day bus stop,2.15331,41.38625,BUS-V11,Eixample,l'Antiga Esquerra de l'Eixample,N
1434,Day bus stop,2.168494,41.45988,BUS-62,Nou Barris,Ciutat Meridiana,S
1261,Day bus stop,2.157973,41.36853,BUS-55,Sants-MontjuÃ¯c,el Poble-sec,N
1512,Day bus stop,2.122607,41.38722,BUS-75,Les Corts,Pedralbes,S
1785,Day bus stop,2.136593,41.36985,BUS-91,Sants-MontjuÃ¯c,la Bordeta,S
1397,Day bus stop,2.203614,41.4393,BUS-V33,Sant Andreu,el Bon Pastor,S
1446,Day bus stop,2.183646,41.43336,BUS-126,Sant Andreu,Sant Andreu,S
1594,Day bus stop,2.125939,41.38771,BUS-7,Les Corts,la Maternitat i Sant Ramon,S
93,Day bus stop,2.104659,41.41297,BUS-111,SarriÃ -Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",N
208,Day bus stop,2.149303,41.41291,BUS-116,GrÃ cia,la Salut,N
1925,Day bus stop,2.11423,41.37683,BUS-D20,Les Corts,la Maternitat i Sant Ramon,N
257,Day bus stop,2.179977,41.42109,BUS-117,Horta-GuinardÃ³,el GuinardÃ³,N
689,Day bus stop,2.179584,41.44543,BUS-81,Nou Barris,la Prosperitat,S
1765,Day bus stop,2.166617,41.35902,BUS-88,Sants-MontjuÃ¯c,la Marina del Prat Vermell,N
976,Day bus stop,2.143424,41.4278,BUS-76,Horta-GuinardÃ³,Montbau,S
1619,Day bus stop,2.175977,41.45956,BUS-76,Nou Barris,Ciutat Meridiana,S
1183,Day bus stop,2.177441,41.42934,BUS-132,Nou Barris,Vilapicina i la Torre Llobeta,S
1084,Day bus stop,2.167153,41.40149,BUS-39,GrÃ cia,el Camp d'en Grassot i GrÃ cia Nova,S
1519,Day bus stop,2.133709,41.39773,BUS-68,SarriÃ -Sant Gervasi,Sant Gervasi - Galvany,N
2107,Day bus stop,2.153748,41.3784,BUS-L95,Eixample,Sant Antoni,S
1127,Day bus stop,2.154457,41.43986,BUS-45,Horta-GuinardÃ³,Horta,N
982,Day bus stop,2.145426,41.43209,BUS-27,Horta-GuinardÃ³,Montbau,S
1606,Day bus stop,2.16934,41.39019,BUS-7,Eixample,la Dreta de l'Eixample,S
783,Day bus stop,2.177031,41.38974,BUS-H16,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",S
2151,Day bus stop,2.154344,41.39228,BUS-V13,Eixample,l'Antiga Esquerra de l'Eixample,N
1433,Day bus stop,2.1726,41.45995,BUS-76,Nou Barris,Ciutat Meridiana,S
1473,Day bus stop,2.125658,41.38981,BUS-6,Les Corts,Pedralbes,S
1017,Day bus stop,2.179426,41.40471,BUS-D50,Eixample,la Sagrada FamÃ­lia,S
974,Day bus stop,2.14979,41.43724,BUS-27,Horta-GuinardÃ³,Horta,S
1084,Day bus stop,2.167153,41.40149,BUS-47,GrÃ cia,el Camp d'en Grassot i GrÃ cia Nova,S
784,Day bus stop,2.175984,41.39028,BUS-39,Eixample,la Dreta de l'Eixample,S
734,Day bus stop,2.145469,41.42274,BUS-19,Horta-GuinardÃ³,la Teixonera,N
833,Day bus stop,2.171595,41.40823,BUS-19,Eixample,la Sagrada FamÃ­lia,S
1536,Day bus stop,2.14694,41.39486,BUS-V11,SarriÃ -Sant Gervasi,Sant Gervasi - Galvany,S
279,Day bus stop,2.176849,41.44109,BUS-76,Nou Barris,Verdun,S
962,Day bus stop,2.169648,41.443,BUS-60,Nou Barris,Canyelles,S
657,Day bus stop,2.143981,41.40649,BUS-131,SarriÃ -Sant Gervasi,el Putxet i el FarrÃ³,N
1381,Day bus stop,2.106687,41.38751,BUS-H4,Les Corts,Pedralbes,S
1047,Day bus stop,2.122002,41.3931,BUS-34,SarriÃ -Sant Gervasi,SarriÃ ,S
1785,Day bus stop,2.136593,41.36985,BUS-115,Sants-MontjuÃ¯c,la Bordeta,S
663,Day bus stop,2.140628,41.36388,BUS-13,Sants-MontjuÃ¯c,la Marina de Port,S
1494,Day bus stop,2.148141,41.37451,BUS-165,Sants-MontjuÃ¯c,Hostafrancs,S
163,Day bus stop,2.193156,41.43019,BUS-126,Sant Andreu,Sant Andreu,S
867,Day bus stop,2.170511,41.37482,BUS-V11,Sants-MontjuÃ¯c,el Poble-sec,S
239,Day bus stop,2.201114,41.44717,BUS-60,Sant Andreu,BarÃ³ de Viver,S
359,Day bus stop,2.139128,41.41782,BUS-123,GrÃ cia,Vallcarca i els Penitents,S
1267,Day bus stop,2.158583,41.3705,BUS-55,Sants-MontjuÃ¯c,el Poble-sec,N
792,Day bus stop,2.175468,41.42572,BUS-45,Nou Barris,Vilapicina i la Torre Llobeta,S
829,Day bus stop,2.152107,41.42482,BUS-19,Horta-GuinardÃ³,el Carmel,S
2230,Day bus stop,2.208405,41.40238,BUS-V27,Sant MartÃ­,el Poblenou,S
301,Day bus stop,2.096845,41.41921,BUS-118,SarriÃ -Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",N
894,Day bus stop,2.138599,41.41345,BUS-22,SarriÃ -Sant Gervasi,el Putxet i el FarrÃ³,S
1955,Day bus stop,2.148469,41.37594,BUS-D40,Sants-MontjuÃ¯c,Hostafrancs,N
296,Day bus stop,2.095171,41.41792,BUS-118,SarriÃ -Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",N
827,Day bus stop,2.153919,41.42553,BUS-86,Horta-GuinardÃ³,el Carmel,S
1087,Day bus stop,2.163728,41.39804,BUS-45,Eixample,la Dreta de l'Eixample,S
781,Day bus stop,2.162732,41.4288,BUS-45,Horta-GuinardÃ³,Horta,S
690,Day bus stop,2.149067,41.37561,BUS-150,Sants-MontjuÃ¯c,el Poble-sec,S
94,Day bus stop,2.103144,41.41127,BUS-111,SarriÃ -Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",N
818,Day bus stop,2.137183,41.42807,BUS-76,Horta-GuinardÃ³,Sant GenÃ­s dels Agudells,S
860,Day bus stop,2.125365,41.33216,BUS-109,Sants-MontjuÃ¯c,la Marina del Prat Vermell,S
